review,sentiment,total_words,total_chars,sequence,padded
used two day always easy hear with,0,7,34,"[109, 59, 87, 125, 143, 224, 512]",[109  59  87 125 143 224 512   0   0   0   0   0   0   0   0   0]
got car charger even week charger broken i went plug started smoking,0,12,68,"[53, 153, 144, 19, 287, 144, 1726, 243, 145, 281, 313, 3326]","[  53  153  144   19  287  144 1726  243  145  281  313 3326    0    0
    0    0]"
sprint terrible customer service,0,4,32,"[1177, 72, 185, 12]","[1177   72  185   12    0    0    0    0    0    0    0    0    0    0
    0    0]"
linked phone without effort,1,4,27,"[3327, 4, 244, 731]","[3327    4  244  731    0    0    0    0    0    0    0    0    0    0
    0    0]"
better new,1,2,10,"[36, 86]",[36 86  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
possesed get junk idea,0,4,22,"[3328, 25, 374, 661]","[3328   25  374  661    0    0    0    0    0    0    0    0    0    0
    0    0]"
piece trash,0,2,11,"[80, 654]",[ 80 654   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
pretty good product,1,3,19,"[46, 1, 30]",[46  1 30  0  0  0  0  0  0  0  0  0  0  0  0  0]
price amazon excellent product would highly recommend,1,7,53,"[47, 396, 34, 30, 17, 116, 40]",[ 47 396  34  30  17 116  40   0   0   0   0   0   0   0   0   0]
research development division obviously know doing,1,6,50,"[3329, 1337, 3330, 460, 76, 3331]","[3329 1337 3330  460   76 3331    0    0    0    0    0    0    0    0
    0    0]"
real killer volume course breaking,0,5,34,"[91, 828, 284, 498, 1057]","[  91  828  284  498 1057    0    0    0    0    0    0    0    0    0
    0    0]"
phone working fine now,1,4,22,"[4, 218, 141, 489]",[  4 218 141 489   0   0   0   0   0   0   0   0   0   0   0   0]
poor construction,0,2,17,"[101, 1131]","[ 101 1131    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
infuriating,0,1,11,[3332],"[3332    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
overall would recommend phone new walkman,1,6,41,"[159, 17, 40, 4, 86, 3333]","[ 159   17   40    4   86 3333    0    0    0    0    0    0    0    0
    0    0]"
sprint charge service,0,3,21,"[1177, 195, 12]","[1177  195   12    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
cheap feel look cheap,0,4,21,"[180, 118, 48, 180]",[180 118  48 180   0   0   0   0   0   0   0   0   0   0   0   0]
fit ear well comfortable on,1,5,27,"[105, 49, 16, 142, 301]",[105  49  16 142 301   0   0   0   0   0   0   0   0   0   0   0]
work europe asia,0,3,16,"[14, 3334, 3335]","[  14 3334 3335    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
clipping belt deffinitely make feel like cent up and coming,1,10,59,"[3336, 699, 3337, 29, 118, 11, 3338, 181, 298, 249]","[3336  699 3337   29  118   11 3338  181  298  249    0    0    0    0
    0    0]"
like design look jabra behing ear headset pretty comfortible wear hour day without pain ear,1,15,91,"[11, 285, 48, 395, 3339, 49, 27, 46, 3340, 394, 104, 87, 244, 3341, 49]","[  11  285   48  395 3339   49   27   46 3340  394  104   87  244 3341
   49    0]"
amazed quick arrival two original lg cell phone battery fraction price,1,11,70,"[1058, 438, 3342, 59, 383, 882, 229, 4, 41, 3343, 47]","[1058  438 3342   59  383  882  229    4   41 3343   47    0    0    0
    0    0]"
worst phone samsung crap crappy samsung e worst ever seeen,0,10,58,"[51, 4, 708, 324, 3344, 708, 771, 51, 20, 3345]","[  51    4  708  324 3344  708  771   51   20 3345    0    0    0    0
    0    0]"
charger worked week completely stopped charging phone,0,7,53,"[144, 133, 287, 246, 1178, 685, 4]","[ 144  133  287  246 1178  685    4    0    0    0    0    0    0    0
    0    0]"
poor product,0,2,12,"[101, 30]",[101  30   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
however needed better instruction,0,4,33,"[161, 469, 36, 687]",[161 469  36 687   0   0   0   0   0   0   0   0   0   0   0   0]
need two hand operate screen this software interface decade old cannot compete new software design,0,15,98,"[192, 59, 288, 1727, 112, 111, 519, 3346, 3347, 247, 372, 3348, 86, 519, 285]","[ 192   59  288 1727  112  111  519 3346 3347  247  372 3348   86  519
  285    0]"
worked well paired treo w skype headset pc using usb bluetooth transceiver,1,12,74,"[133, 16, 1728, 891, 3349, 1682, 27, 1121, 251, 892, 169, 3350]","[ 133   16 1728  891 3349 1682   27 1121  251  892  169 3350    0    0
    0    0]"
steer clear product go genuine palm replacementr pen come three pack,0,11,68,"[3351, 254, 30, 21, 796, 704, 3352, 3353, 119, 314, 1729]","[3351  254   30   21  796  704 3352 3353  119  314 1729    0    0    0
    0    0]"
buy buyit suck,0,3,14,"[150, 3354, 168]","[ 150 3354  168    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
great product sure beat using finger,1,6,36,"[3, 30, 188, 603, 251, 1730]","[   3   30  188  603  251 1730    0    0    0    0    0    0    0    0
    0    0]"
plus seriously believe worth steep price point,0,7,46,"[417, 278, 300, 93, 3355, 47, 496]","[ 417  278  300   93 3355   47  496    0    0    0    0    0    0    0
    0    0]"
case tried normally fall apart month one seems long haul,1,10,56,"[52, 211, 1451, 548, 1731, 286, 6, 421, 89, 3356]","[  52  211 1451  548 1731  286    6  421   89 3356    0    0    0    0
    0    0]"
dissapointing performance,0,2,25,"[3357, 178]","[3357  178    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
make mistake please buy phone,0,5,29,"[29, 505, 706, 150, 4]",[ 29 505 706 150   4   0   0   0   0   0   0   0   0   0   0   0]
phone might well worst ever brand,0,6,33,"[4, 562, 16, 51, 20, 1732]","[   4  562   16   51   20 1732    0    0    0    0    0    0    0    0
    0    0]"
case le extra originally put later discarded scratched ear,0,9,58,"[52, 311, 604, 3358, 259, 501, 3359, 1154, 49]","[  52  311  604 3358  259  501 3359 1154   49    0    0    0    0    0
    0    0]"
recommend igo anyone different brand cell phone mp player family,1,10,64,"[40, 1650, 129, 315, 1732, 229, 4, 862, 430, 193]","[  40 1650  129  315 1732  229    4  862  430  193    0    0    0    0
    0    0]"
bother go store,0,3,15,"[585, 21, 499]",[585  21 499   0   0   0   0   0   0   0   0   0   0   0   0   0]
posted detailed comment grey black phone fire red great color,1,10,61,"[3360, 3361, 1050, 3362, 222, 4, 987, 893, 3, 442]","[3360 3361 1050 3362  222    4  987  893    3  442    0    0    0    0
    0    0]"
problem item would order needed,1,5,31,"[66, 146, 17, 170, 469]",[ 66 146  17 170 469   0   0   0   0   0   0   0   0   0   0   0]
get pay guess,0,3,13,"[25, 428, 358]",[ 25 428 358   0   0   0   0   0   0   0   0   0   0   0   0   0]
software great job this could also make ringtones form existing cd without internet connection,1,14,94,"[519, 3, 138, 111, 37, 23, 29, 890, 618, 3363, 3364, 244, 520, 569]","[ 519    3  138  111   37   23   29  890  618 3363 3364  244  520  569
    0    0]"
im surprised good quality car charger there much review it,1,10,58,"[840, 1070, 1, 24, 153, 144, 115, 33, 258, 7]","[ 840 1070    1   24  153  144  115   33  258    7    0    0    0    0
    0    0]"
fabulous,1,1,8,[1733],"[1733    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
used bitpim a free program find internet to transfer data phone the price cable excellent,1,15,89,"[109, 3365, 657, 373, 3366, 148, 520, 375, 1542, 700, 4, 245, 47, 431, 34]","[ 109 3365  657  373 3366  148  520  375 1542  700    4  245   47  431
   34    0]"
disappointing accessory good manufacturer,0,4,41,"[369, 3367, 1, 3368]","[ 369 3367    1 3368    0    0    0    0    0    0    0    0    0    0
    0    0]"
performed awful muffled tinny incoming sound severe echo end call,0,10,65,"[1734, 137, 3369, 1179, 3370, 35, 3371, 1735, 154, 88]","[1734  137 3369 1179 3370   35 3371 1735  154   88    0    0    0    0
    0    0]"
wind resistant,1,2,14,"[751, 3372]","[ 751 3372    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
obviously terrible customer service get pay for,0,7,47,"[460, 72, 185, 12, 25, 428, 495]",[460  72 185  12  25 428 495   0   0   0   0   0   0   0   0   0]
last forever overly expensive replace easy operate sound much better others tried,1,12,81,"[122, 671, 1553, 887, 705, 143, 1727, 35, 33, 36, 475, 211]","[ 122  671 1553  887  705  143 1727   35   33   36  475  211    0    0
    0    0]"
contacted company told that although unit still warranty produce receipt luck,0,11,77,"[3373, 340, 570, 82, 494, 397, 56, 1736, 1448, 3374, 1737]","[3373  340  570   82  494  397   56 1736 1448 3374 1737    0    0    0
    0    0]"
linksys way exchange bad phone refurb unit something,0,8,52,"[3375, 43, 3376, 15, 4, 3377, 397, 362]","[3375   43 3376   15    4 3377  397  362    0    0    0    0    0    0
    0    0]"
phone sturdy nokia bar phone are,1,6,32,"[4, 688, 524, 227, 4, 1738]","[   4  688  524  227    4 1738    0    0    0    0    0    0    0    0
    0    0]"
placed treo case snug lot extra room side,0,8,41,"[1180, 891, 52, 3378, 79, 604, 571, 196]","[1180  891   52 3378   79  604  571  196    0    0    0    0    0    0
    0    0]"
pleased,1,1,7,[337],[337   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
battery terrible,0,2,16,"[41, 72]",[41 72  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
found product easy set use,1,5,26,"[113, 30, 143, 248, 44]",[113  30 143 248  44   0   0   0   0   0   0   0   0   0   0   0]
earpiece large heavy it keep falling ear,0,7,40,"[517, 689, 3379, 7, 291, 1096, 49]","[ 517  689 3379    7  291 1096   49    0    0    0    0    0    0    0
    0    0]"
utter crap sound quality terrible,0,5,33,"[1381, 324, 35, 24, 72]","[1381  324   35   24   72    0    0    0    0    0    0    0    0    0
    0    0]"
charger arrived within promised timeframe work,0,6,46,"[144, 514, 511, 3380, 1711, 14]","[ 144  514  511 3380 1711   14    0    0    0    0    0    0    0    0
    0    0]"
ear loop needed tiny sound great,1,6,32,"[49, 1739, 469, 1064, 35, 3]","[  49 1739  469 1064   35    3    0    0    0    0    0    0    0    0
    0    0]"
finally three four time spring latch broke could use longer visor,0,11,65,"[432, 314, 1020, 8, 1181, 3381, 439, 37, 44, 586, 3382]","[ 432  314 1020    8 1181 3381  439   37   44  586 3382    0    0    0
    0    0]"
handsfree part work fine car try download address book treo reboots overall still rate device high,1,16,98,"[1147, 135, 14, 141, 153, 194, 1740, 3383, 465, 891, 3384, 159, 56, 662, 228, 302]","[1147  135   14  141  153  194 1740 3383  465  891 3384  159   56  662
  228  302]"
talk useless customer service,0,4,29,"[207, 522, 185, 12]",[207 522 185  12   0   0   0   0   0   0   0   0   0   0   0   0]
felt light tinny,0,3,16,"[221, 277, 1179]","[ 221  277 1179    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
fit palm tungsten e broke first time tried plug in,0,10,50,"[105, 704, 3385, 771, 439, 42, 8, 211, 281, 605]","[ 105  704 3385  771  439   42    8  211  281  605    0    0    0    0
    0    0]"
happy purchase good quality low price,1,6,37,"[120, 210, 1, 24, 201, 47]",[120 210   1  24 201  47   0   0   0   0   0   0   0   0   0   0]
love look feel samsung flipphones,1,5,33,"[26, 48, 118, 708, 3386]","[  26   48  118  708 3386    0    0    0    0    0    0    0    0    0
    0    0]"
well designed sharp blue nice color,1,6,35,"[16, 1385, 1146, 545, 32, 442]","[  16 1385 1146  545   32  442    0    0    0    0    0    0    0    0
    0    0]"
everything more,1,2,15,"[60, 516]",[ 60 516   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
could recommend more,0,3,20,"[37, 40, 516]",[ 37  40 516   0   0   0   0   0   0   0   0   0   0   0   0   0]
nice sound,1,2,10,"[32, 35]",[32 35  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
look good picture case huge disappointment,0,6,42,"[48, 1, 176, 52, 343, 330]",[ 48   1 176  52 343 330   0   0   0   0   0   0   0   0   0   0]
much le jawbone going replace with,1,6,34,"[33, 311, 1117, 67, 705, 512]","[  33  311 1117   67  705  512    0    0    0    0    0    0    0    0
    0    0]"
setup went smoothly,1,3,19,"[1138, 145, 1611]","[1138  145 1611    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
extremely slow take forever anything it,0,6,39,"[328, 147, 124, 671, 234, 7]",[328 147 124 671 234   7   0   0   0   0   0   0   0   0   0   0]
must study anyone interested worst sin industrial design,0,8,56,"[155, 3387, 129, 929, 51, 3388, 3389, 285]","[ 155 3387  129  929   51 3388 3389  285    0    0    0    0    0    0
    0    0]"
first thing happened tracking off,0,5,33,"[42, 31, 554, 3390, 312]","[  42   31  554 3390  312    0    0    0    0    0    0    0    0    0
    0    0]"
well made easy access phone handy detachable belt clip,1,9,54,"[16, 28, 143, 1741, 4, 1629, 3391, 699, 684]","[  16   28  143 1741    4 1629 3391  699  684    0    0    0    0    0
    0    0]"
continue pairing periodically since somehow kept dropping,0,7,57,"[1049, 1182, 3392, 149, 1742, 345, 1655]","[1049 1182 3392  149 1742  345 1655    0    0    0    0    0    0    0
    0    0]"
can t upload ringtones third party,0,6,34,"[106, 74, 3393, 890, 894, 594]","[ 106   74 3393  890  894  594    0    0    0    0    0    0    0    0
    0    0]"
bluetooth work phone lock up screen flash make call randomly pocket locked,0,12,74,"[169, 14, 4, 1125, 181, 112, 1743, 29, 88, 3394, 858, 3395]","[ 169   14    4 1125  181  112 1743   29   88 3394  858 3395    0    0
    0    0]"
truly awful,0,2,11,"[304, 137]",[304 137   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
work fine motorola cellphone lot better worn out battery did,1,10,60,"[14, 141, 255, 1171, 79, 36, 3396, 290, 41, 596]","[  14  141  255 1171   79   36 3396  290   41  596    0    0    0    0
    0    0]"
volume ringer real good you choice loud,1,7,39,"[284, 3397, 91, 1, 217, 461, 593]","[ 284 3397   91    1  217  461  593    0    0    0    0    0    0    0
    0    0]"
none tone acceptable,0,3,20,"[385, 1151, 3398]","[ 385 1151 3398    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
camera color balance awful,0,4,26,"[164, 442, 1061, 137]","[ 164  442 1061  137    0    0    0    0    0    0    0    0    0    0
    0    0]"
product clearly ready prime time care cool look can t tell call coming worthless,0,14,80,"[30, 736, 1030, 1744, 8, 380, 200, 48, 106, 74, 335, 88, 249, 852]","[  30  736 1030 1744    8  380  200   48  106   74  335   88  249  852
    0    0]"
love ringtones upbeat,1,3,21,"[26, 890, 3399]","[  26  890 3399    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
chinese forgery abound,0,3,22,"[895, 3400, 3401]","[ 895 3400 3401    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
easy pair samsung cell,1,4,22,"[143, 842, 708, 229]",[143 842 708 229   0   0   0   0   0   0   0   0   0   0   0   0]
instruction explain microphone jack could used,0,6,46,"[687, 3402, 1155, 3403, 37, 109]","[ 687 3402 1155 3403   37  109    0    0    0    0    0    0    0    0
    0    0]"
would advise purchase item never worked well,0,7,44,"[17, 756, 210, 146, 38, 133, 16]",[ 17 756 210 146  38 133  16   0   0   0   0   0   0   0   0   0]
bad pay month service,0,4,21,"[15, 428, 286, 12]",[ 15 428 286  12   0   0   0   0   0   0   0   0   0   0   0   0]
work well,1,2,9,"[14, 16]",[14 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
nokia ca usb cable work phone,0,6,29,"[524, 3404, 892, 431, 14, 4]","[ 524 3404  892  431   14    4    0    0    0    0    0    0    0    0
    0    0]"
clear crisp sound,1,3,17,"[254, 1183, 35]","[ 254 1183   35    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
use smallest earpiece provided stay pretty well,1,7,47,"[44, 3405, 517, 647, 282, 46, 16]","[  44 3405  517  647  282   46   16    0    0    0    0    0    0    0
    0    0]"
biggest complaint is battery drain superfast,0,6,44,"[1745, 690, 165, 41, 875, 3406]","[1745  690  165   41  875 3406    0    0    0    0    0    0    0    0
    0    0]"
design might ergonomic theory could stand ear,0,7,45,"[285, 562, 3407, 3408, 37, 1295, 49]","[ 285  562 3407 3408   37 1295   49    0    0    0    0    0    0    0
    0    0]"
buy want use holster,0,4,20,"[150, 94, 44, 1172]","[ 150   94   44 1172    0    0    0    0    0    0    0    0    0    0
    0    0]"
phone also take great picture even video clip,1,8,45,"[4, 23, 124, 3, 176, 19, 676, 684]",[  4  23 124   3 176  19 676 684   0   0   0   0   0   0   0   0]
make look cool,0,3,14,"[29, 48, 200]",[ 29  48 200   0   0   0   0   0   0   0   0   0   0   0   0   0]
ear occupied background distracting all,1,5,39,"[49, 952, 1659, 3409, 100]","[  49  952 1659 3409  100    0    0    0    0    0    0    0    0    0
    0    0]"
comfortable fit need headset comfortable least hour time entire day,1,10,67,"[142, 105, 192, 27, 142, 262, 104, 8, 502, 87]",[142 105 192  27 142 262 104   8 502  87   0   0   0   0   0   0]
also phone seem accept anything except cbr mp preferably ripped window medium player,0,13,84,"[23, 4, 1074, 1746, 234, 1537, 3410, 862, 3411, 1184, 1716, 1747, 430]","[  23    4 1074 1746  234 1537 3410  862 3411 1184 1716 1747  430    0
    0    0]"
can t beat price these,1,5,22,"[106, 74, 603, 47, 760]",[106  74 603  47 760   0   0   0   0   0   0   0   0   0   0   0]
come strong light use light camera shot even flash so signal seriously,1,12,70,"[119, 363, 277, 44, 277, 164, 327, 19, 1743, 556, 518, 278]","[ 119  363  277   44  277  164  327   19 1743  556  518  278    0    0
    0    0]"
lightweight work well,1,3,21,"[873, 14, 16]",[873  14  16   0   0   0   0   0   0   0   0   0   0   0   0   0]
beware,0,1,6,[1062],"[1062    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
love cable allows connect mini usb device pc,1,8,44,"[26, 431, 1748, 3412, 1079, 892, 228, 1121]","[  26  431 1748 3412 1079  892  228 1121    0    0    0    0    0    0
    0    0]"
anyone near hear part conversation,0,5,34,"[129, 3413, 224, 135, 854]","[ 129 3413  224  135  854    0    0    0    0    0    0    0    0    0
    0    0]"
cool case open allowing screen get scratched up,1,8,47,"[200, 52, 1097, 1526, 112, 25, 1154, 181]","[ 200   52 1097 1526  112   25 1154  181    0    0    0    0    0    0
    0    0]"
bought phone replacement startac regretted since,0,6,48,"[140, 4, 1149, 3414, 3415, 149]","[ 140    4 1149 3414 3415  149    0    0    0    0    0    0    0    0
    0    0]"
appears actually outperform original battery china came vi,1,8,58,"[1667, 205, 3416, 383, 41, 3417, 73, 1674]","[1667  205 3416  383   41 3417   73 1674    0    0    0    0    0    0
    0    0]"
can t store anything phone number sim,0,7,37,"[106, 74, 499, 234, 4, 543, 3418]","[ 106   74  499  234    4  543 3418    0    0    0    0    0    0    0
    0    0]"
last le o minute actually try use phone my wife phone problem,0,12,61,"[122, 311, 1073, 54, 205, 194, 44, 4, 637, 440, 4, 66]","[ 122  311 1073   54  205  194   44    4  637  440    4   66    0    0
    0    0]"
poor quality,0,2,12,"[101, 24]",[101  24   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
jabra ear gel r best,1,5,20,"[395, 49, 1664, 1452, 18]","[ 395   49 1664 1452   18    0    0    0    0    0    0    0    0    0
    0    0]"
worth it,0,2,8,"[93, 7]",[93  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
phone crashed completely get replaced,0,5,37,"[4, 3419, 246, 25, 3420]","[   4 3419  246   25 3420    0    0    0    0    0    0    0    0    0
    0    0]"
quit working used month purchased another one best headset ever owned,1,11,69,"[1749, 218, 109, 286, 866, 136, 6, 18, 27, 20, 646]","[1749  218  109  286  866  136    6   18   27   20  646    0    0    0
    0    0]"
unfortunately recharge iphone despite connecting multiple power source imac external battery wall outlet etc,0,14,108,"[269, 1677, 1185, 546, 3421, 1186, 820, 1712, 3422, 3423, 41, 437, 757, 561]","[ 269 1677 1185  546 3421 1186  820 1712 3422 3423   41  437  757  561
    0    0]"
simply want small flip phone look elsewhere extra bell whistle mediocre,0,11,71,"[203, 94, 182, 1160, 4, 48, 578, 604, 1383, 3424, 387]","[ 203   94  182 1160    4   48  578  604 1383 3424  387    0    0    0
    0    0]"
good value work fine power via usb car wall outlet,1,10,50,"[1, 339, 14, 141, 820, 1750, 892, 153, 437, 757]","[   1  339   14  141  820 1750  892  153  437  757    0    0    0    0
    0    0]"
phone slide around car grip prevents phone slipping hand,1,9,56,"[4, 3425, 166, 153, 3426, 3427, 4, 3428, 288]","[   4 3425  166  153 3426 3427    4 3428  288    0    0    0    0    0
    0    0]"
simply best bluetooth headset sound quality,1,6,43,"[203, 18, 169, 27, 35, 24]",[203  18 169  27  35  24   0   0   0   0   0   0   0   0   0   0]
think plan one this sure last moto phone me,0,9,43,"[45, 868, 6, 111, 188, 122, 1692, 4, 103]","[  45  868    6  111  188  122 1692    4  103    0    0    0    0    0
    0    0]"
span hour two people exclaim whoa new phone tv,1,9,46,"[3429, 104, 59, 68, 3430, 3431, 86, 4, 366]","[3429  104   59   68 3430 3431   86    4  366    0    0    0    0    0
    0    0]"
always used corded headset freedom wireless helpful,1,7,51,"[125, 109, 3432, 27, 983, 1163, 391]","[ 125  109 3432   27  983 1163  391    0    0    0    0    0    0    0
    0    0]"
case passed one year mark show sign wear functional,1,9,51,"[52, 761, 6, 58, 1090, 123, 833, 394, 3433]","[  52  761    6   58 1090  123  833  394 3433    0    0    0    0    0
    0    0]"
that leather nice soft fit tight cut face good shape,1,10,52,"[82, 694, 32, 3434, 105, 3435, 589, 404, 1, 3436]","[  82  694   32 3434  105 3435  589  404    1 3436    0    0    0    0
    0    0]"
everything need ask more,1,4,24,"[60, 192, 410, 516]",[ 60 192 410 516   0   0   0   0   0   0   0   0   0   0   0   0]
receiving using product day broke,0,5,33,"[1703, 251, 30, 87, 439]","[1703  251   30   87  439    0    0    0    0    0    0    0    0    0
    0    0]"
product great make working lot easier go copier waiting hold something,1,11,70,"[30, 3, 29, 218, 79, 885, 21, 3437, 413, 309, 362]","[  30    3   29  218   79  885   21 3437  413  309  362    0    0    0
    0    0]"
none three size sent headset would stay ear,0,8,43,"[385, 314, 703, 3438, 27, 17, 282, 49]","[ 385  314  703 3438   27   17  282   49    0    0    0    0    0    0
    0    0]"
t mobile best customer service anywhere,1,6,39,"[74, 686, 18, 185, 12, 3439]","[  74  686   18  185   12 3439    0    0    0    0    0    0    0    0
    0    0]"
arrived quickly much le expensive others sold,1,7,45,"[514, 515, 33, 311, 887, 475, 3440]","[ 514  515   33  311  887  475 3440    0    0    0    0    0    0    0
    0    0]"
tried unit failed within month pro,0,6,34,"[211, 397, 832, 511, 286, 1632]","[ 211  397  832  511  286 1632    0    0    0    0    0    0    0    0
    0    0]"
provides good protection look classy too,1,6,40,"[1751, 1, 1124, 48, 1752, 179]","[1751    1 1124   48 1752  179    0    0    0    0    0    0    0    0
    0    0]"
krussel always good,1,3,19,"[3441, 125, 1]","[3441  125    1    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
tracfonewebsite user friendly make easy toactivate etc,1,7,54,"[3442, 1702, 77, 29, 143, 3443, 561]","[3442 1702   77   29  143 3443  561    0    0    0    0    0    0    0
    0    0]"
design good,1,2,11,"[285, 1]",[285   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
great reception time,1,3,20,"[3, 183, 8]",[  3 183   8   0   0   0   0   0   0   0   0   0   0   0   0   0]
would highly recommend product,1,4,30,"[17, 116, 40, 30]",[ 17 116  40  30   0   0   0   0   0   0   0   0   0   0   0   0]
use unit sunglass good texas,0,5,28,"[44, 397, 1168, 1, 3444]","[  44  397 1168    1 3444    0    0    0    0    0    0    0    0    0
    0    0]"
dit work time nokia,0,4,19,"[3445, 14, 8, 524]","[3445   14    8  524    0    0    0    0    0    0    0    0    0    0
    0    0]"
bought mainly charger broke soon purchasing,0,6,43,"[140, 1594, 144, 439, 307, 1691]","[ 140 1594  144  439  307 1691    0    0    0    0    0    0    0    0
    0    0]"
fantastic buy get whatever next phone,1,6,37,"[167, 150, 25, 459, 209, 4]",[167 150  25 459 209   4   0   0   0   0   0   0   0   0   0   0]
stay away store careful,0,4,23,"[282, 242, 499, 1640]","[ 282  242  499 1640    0    0    0    0    0    0    0    0    0    0
    0    0]"
blueant supertooth hand free phone speaker awesome,1,7,50,"[3446, 3447, 288, 373, 4, 1176, 139]","[3446 3447  288  373    4 1176  139    0    0    0    0    0    0    0
    0    0]"
light plenty battery capacity confortable wear somewhat extended period time,1,10,76,"[277, 1029, 41, 3448, 3449, 394, 956, 1615, 579, 8]","[ 277 1029   41 3448 3449  394  956 1615  579    8    0    0    0    0
    0    0]"
blue ant easy use,1,4,17,"[545, 3450, 143, 44]","[ 545 3450  143   44    0    0    0    0    0    0    0    0    0    0
    0    0]"
cheap hey work pleasantly suprised given low cost item,1,9,54,"[180, 3451, 14, 3452, 3453, 416, 201, 412, 146]","[ 180 3451   14 3452 3453  416  201  412  146    0    0    0    0    0
    0    0]"
camera phone may used dustpan indoors rather using disposable this,0,10,66,"[164, 4, 344, 109, 3454, 3455, 237, 251, 3456, 111]","[ 164    4  344  109 3454 3455  237  251 3456  111    0    0    0    0
    0    0]"
day later puff smoke came phone use,0,7,35,"[87, 501, 3457, 1753, 73, 4, 44]","[  87  501 3457 1753   73    4   44    0    0    0    0    0    0    0
    0    0]"
convenient simple use get job done make car ride much smoother,1,11,62,"[1187, 513, 44, 25, 138, 208, 29, 153, 3458, 33, 3459]","[1187  513   44   25  138  208   29  153 3458   33 3459    0    0    0
    0    0]"
nano stated it my son dissapointed,0,6,34,"[3460, 1643, 7, 637, 1089, 3461]","[3460 1643    7  637 1089 3461    0    0    0    0    0    0    0    0
    0    0]"
sound quality excellent well,1,4,28,"[35, 24, 34, 16]",[35 24 34 16  0  0  0  0  0  0  0  0  0  0  0  0]
best headset used,1,3,17,"[18, 27, 109]",[ 18  27 109   0   0   0   0   0   0   0   0   0   0   0   0   0]
would reccommend,0,2,16,"[17, 3462]","[  17 3462    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
around year carry highest quality anti glare screen protector found date,1,11,72,"[166, 58, 1092, 1254, 24, 3463, 3464, 112, 1754, 113, 896]","[ 166   58 1092 1254   24 3463 3464  112 1754  113  896    0    0    0
    0    0]"
wanted,1,1,6,[429],[429   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
particular model would work motorola q smartphone,0,7,49,"[573, 1688, 17, 14, 255, 758, 3465]","[ 573 1688   17   14  255  758 3465    0    0    0    0    0    0    0
    0    0]"
wont work right atleast me,0,5,26,"[1531, 14, 64, 3466, 103]","[1531   14   64 3466  103    0    0    0    0    0    0    0    0    0
    0    0]"
addition feel amp look phone lightweight cheap plastic,0,8,54,"[991, 118, 3467, 48, 4, 873, 180, 600]","[ 991  118 3467   48    4  873  180  600    0    0    0    0    0    0
    0    0]"
out warranty problem reoccure bottom line put money somewhere else cingular support it,0,13,86,"[290, 1736, 66, 3468, 1188, 130, 259, 85, 3469, 484, 889, 864, 7]","[ 290 1736   66 3468 1188  130  259   85 3469  484  889  864    7    0
    0    0]"
really wanted plantronics right one many issue me the good,0,10,58,"[13, 429, 878, 64, 6, 117, 672, 103, 245, 1]",[ 13 429 878  64   6 117 672 103 245   1   0   0   0   0   0   0]
crisp clear,1,2,11,"[1183, 254]","[1183  254    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
first charge kept going dead minute,0,6,35,"[42, 195, 345, 67, 677, 54]",[ 42 195 345  67 677  54   0   0   0   0   0   0   0   0   0   0]
cheap plastic creak like old wooden floor,0,7,41,"[180, 600, 3470, 11, 247, 1036, 3471]","[ 180  600 3470   11  247 1036 3471    0    0    0    0    0    0    0
    0    0]"
get absolutely horrible reception apartment phone problem,0,7,57,"[25, 131, 163, 183, 3472, 4, 66]","[  25  131  163  183 3472    4   66    0    0    0    0    0    0    0
    0    0]"
reception generally good,1,3,24,"[183, 629, 1]",[183 629   1   0   0   0   0   0   0   0   0   0   0   0   0   0]
